DATE,IPUTIL
1958-05-01,17.4297
1958-06-01,17.6075
1958-07-01,17.6837
1958-08-01,17.8870
1958-09-01,18.0649
1958-10-01,18.1665
1958-11-01,18.2681
1958-12-01,18.5222
1959-01-01,18.8017
1959-02-01,18.9287
1959-03-01,19.0812
1959-04-01,19.2082
1959-05-01,19.4877
1959-06-01,19.6909
1959-07-01,19.7926
1959-08-01,19.5893
1959-09-01,19.8942
1959-10-01,19.8434
1959-11-01,20.0212
1959-12-01,20.4024
1960-01-01,20.4532
1960-02-01,20.6310
1960-03-01,20.9867
1960-04-01,20.9359
1960-05-01,20.7327
1960-06-01,20.8343
1960-07-01,20.8851
1960-08-01,21.0376
1960-09-01,21.1392
1960-10-01,21.1138
1960-11-01,21.1646
1960-12-01,21.1900
1961-01-01,21.2154
1961-02-01,21.2916
1961-03-01,21.317
1961-04-01,21.6727
1961-05-01,22.1301
1961-06-01,22.0539
1961-07-01,22.0539
1961-08-01,22.3842
1961-09-01,22.6128
1961-10-01,22.7653
1961-11-01,22.7907
1961-12-01,22.8923
1962-01-01,23.2480
1962-02-01,23.1718
1962-03-01,23.3497
1962-04-01,23.2480
1962-05-01,23.6291
1962-06-01,23.8070
1962-07-01,24.0103
1962-08-01,23.9086
1962-09-01,23.9849
1962-10-01,24.1119
1962-11-01,24.3660
1962-12-01,24.4168
1963-01-01,24.8995
1963-02-01,25.2298
1963-03-01,25.0266
1963-04-01,24.9503
1963-05-01,25.2298
1963-06-01,25.3823
1963-07-01,25.2298
1963-08-01,25.3823
1963-09-01,25.6109
1963-10-01,25.8142
1963-11-01,26.0429
1963-12-01,26.1191
1964-01-01,26.551
1964-02-01,26.6019
1964-03-01,26.8051
1964-04-01,27.2370
1964-05-01,27.4403
1964-06-01,27.7452
1964-07-01,27.9739
1964-08-01,27.9739
1964-09-01,28.0501
1964-10-01,28.1517
1964-11-01,28.0755
1964-12-01,28.4058
1965-01-01,28.3296
1965-02-01,28.4820
1965-03-01,28.8123
1965-04-01,29.2442
1965-05-01,29.0664
1965-06-01,29.2442
1965-07-01,29.0156
1965-08-01,29.1934
1965-09-01,29.7524
1965-10-01,30.1843
1965-11-01,29.9811
1965-12-01,30.1335
1966-01-01,30.1843
1966-02-01,30.6417
1966-03-01,30.7179
1966-04-01,30.9211
1966-05-01,31.1244
1966-06-01,31.5563
1966-07-01,32.0645
1966-08-01,32.1407
1966-09-01,32.1153
1966-10-01,32.0645
1966-11-01,32.3694
1966-12-01,32.3948
1967-01-01,32.279
1967-02-01,32.3665
1967-03-01,32.0851
1967-04-01,33.4236
1967-05-01,33.0820
1967-06-01,32.7771
1967-07-01,32.9431
1967-08-01,32.4787
1967-09-01,32.7430
1967-10-01,34.1343
1967-11-01,34.1735
1967-12-01,34.8574
1968-01-01,34.7155
1968-02-01,34.5522
1968-03-01,35.1331
1968-04-01,35.1411
1968-05-01,35.5738
1968-06-01,35.9631
1968-07-01,35.5904
1968-08-01,35.8756
1968-09-01,36.4277
1968-10-01,36.3951
1968-11-01,36.6196
1968-12-01,37.8998
1969-01-01,37.6559
1969-02-01,37.9170
1969-03-01,38.3358
1969-04-01,38.1416
1969-05-01,38.1686
1969-06-01,38.8869
1969-07-01,39.5022
1969-08-01,39.6989
1969-09-01,39.2828
1969-10-01,39.5778
1969-11-01,40.1645
1969-12-01,40.1592
1970-01-01,40.2359
1970-02-01,40.2248
1970-03-01,40.7579
1970-04-01,40.9943
1970-05-01,41.7575
1970-06-01,40.9232
1970-07-01,41.5405
1970-08-01,42.0899
1970-09-01,42.336
1970-10-01,41.7047
1970-11-01,41.8843
1970-12-01,41.8382
1971-01-01,42.8803
1971-02-01,42.6211
1971-03-01,42.9828
1971-04-01,43.1251
1971-05-01,43.4978
1971-06-01,43.8438
1971-07-01,43.6392
1971-08-01,43.2740
1971-09-01,43.5255
1971-10-01,44.1527
1971-11-01,43.5252
1971-12-01,43.2766
1972-01-01,44.0743
1972-02-01,46.136
1972-03-01,46.346
1972-04-01,46.2203
1972-05-01,45.6431
1972-06-01,45.3379
1972-07-01,44.8841
1972-08-01,45.827
1972-09-01,46.3753
1972-10-01,46.8943
1972-11-01,47.6297
1972-12-01,47.6609
1973-01-01,48.0405
1973-02-01,48.4148
1973-03-01,48.0949
1973-04-01,48.2461
1973-05-01,48.7722
1973-06-01,49.3813
1973-07-01,48.8155
1973-08-01,49.2609
1973-09-01,50.5667
1973-10-01,50.2517
1973-11-01,49.474
1973-12-01,46.6904
1974-01-01,46.869
1974-02-01,47.0602
1974-03-01,48.0723
1974-04-01,48.6439
1974-05-01,49.2556
1974-06-01,48.7841
1974-07-01,49.8507
1974-08-01,49.4209
1974-09-01,48.7667
1974-10-01,50.0124
1974-11-01,48.96
1974-12-01,48.9912
1975-01-01,48.0538
1975-02-01,48.7563
1975-03-01,49.9073
1975-04-01,51.2026
1975-05-01,50.317
1975-06-01,49.1383
1975-07-01,49.8465
1975-08-01,50.3099
1975-09-01,50.0817
1975-10-01,49.9496
1975-11-01,49.3729
1975-12-01,50.2482
1976-01-01,51.4385
1976-02-01,50.3751
1976-03-01,50.7345
1976-04-01,51.1115
1976-05-01,50.9673
1976-06-01,51.419
1976-07-01,51.6145
1976-08-01,51.8165
1976-09-01,52.2428
1976-10-01,52.7825
1976-11-01,55.2011
1976-12-01,55.642
1977-01-01,55.207
1977-02-01,53.3778
1977-03-01,52.5768
1977-04-01,53.254
1977-05-01,54.0996
1977-06-01,54.8178
1977-07-01,55.4654
1977-08-01,54.5699
1977-09-01,54.7738
1977-10-01,54.781
1977-11-01,54.0569
1977-12-01,54.8634
1978-01-01,54.9522
1978-02-01,55.8228
1978-03-01,55.7161
1978-04-01,54.3118
1978-05-01,55.3569
1978-06-01,55.9292
1978-07-01,55.2117
1978-08-01,55.9979
1978-09-01,56.4509
1978-10-01,56.0566
1978-11-01,56.2539
1978-12-01,56.1694
1979-01-01,57.3235
1979-02-01,59.1170
1979-03-01,58.1269
1979-04-01,58.5822
1979-05-01,57.0697
1979-06-01,56.2611
1979-07-01,55.1924
1979-08-01,56.0776
1979-09-01,55.6625
1979-10-01,56.4808
1979-11-01,56.8635
1979-12-01,55.8263
1980-01-01,54.9523
1980-02-01,56.9808
1980-03-01,58.1003
1980-04-01,56.424
1980-05-01,55.5344
1980-06-01,55.5421
1980-07-01,57.6446
